,text_token,toxic,severe_toxic,obscene,threat,insult,identity_hate
3077,อห ฝัน ดอกเตอร์ กุ ซื้อ ชิบหาย แม่เอ้ย โหน กระแส,0,0,0,0,0,0
6291,จบ เฉลยเนา มู ด็อก บูยอน แม่โซยอน มั้ง รู้ ฆ่า ตัว ขีวิต สอบสวนจริงss เฉลยว่า บูยอน ลูก คน รู้ มู ด็อก บูยอน ไหม พลัง บูยอน ตอน กัก พลัง ซู จาง อุก แปรวิญญาณ รู้,0,0,0,0,0,0
7146,ทุเร่ดดดดดดดพด ตบ,0,0,0,1,0,0
2682,weibo电 视剧星汉灿烂·月 updateofficialรอ รอ รอ รอ รอ ดาราจักรรักลานาใจ ห้วง สมุทรลิขิตจันทราlovelikethegalaxy,0,0,0,0,0,0
4584,หลอด หัด ดูด นั่ง ดูดนอน ดูด อะไหล่ ขวด นม ขวด นม ขวด หัด ดูด คอ แคบ คอกว้างhaeiyk,0,0,0,0,0,0
5583,kantควย พี่ สวย คับ,0,0,1,0,0,0
7166,กุ ย้อน เวลา ตบปาก ตัว ชอบ ไทป์ แบ สคส,0,0,0,0,0,0
8596,กาก กาก เลอ,0,0,0,0,0,0
218,oattยอดดูk กะเทย ดู เลโก้ ดู คุณโอ๊ต,0,0,0,0,0,0
6858,คน ถาม ทำ ผญ ทน ด่าทอ เหยื่อ ลอง ครอบครัว ทำร้าย ร่างกาย จิต ทน หนี เหยื่อ สภาวะ สม กลัว คน จั้น วิตกกังวล กลัว สังคม โดน ตบ เดิน ลอง ถาม ตัว ดู ขนาด โดน ครู ด่า ห้อง เด็ด เงียบ เดิน,0,0,0,0,0,0
3964,khunakrเงี่ยน ควย ทหาร,0,0,1,0,0,0
4625,นม สวย,0,0,1,0,0,0
2543,wetvvip วันหาร wetvราคา หาร wetvvipหาร วีทีวีหาร วีทีวี ราคา wetvthหาร wetvราคา ถูกหาร wetvwetvราคา ดาราจักรรักลานาใจ รัก จ้าว ลู่ซืออู๋เหล่ยyinyinanwwarwanaratwuleiหยิ่นวอร์ ห้วง สมุทรลิขิตจันทรา,0,0,0,0,0,0
4842,เมีย สัก คน เวลา ต่อหน้า เพื่อน ทำ ตัว ผัว ดี ลับ เย็ดเมีย เยี่ยว แตกขา สั่นทรีต เมีย กลาย เด็กร่าน ติด ควย ทั้งเนื้อทั้ง ตัว น้ำ เงี่ยน นอน แหก หี รอ กูเย็ด เตียง เงี่ยน ว่ะ ยืม เมจforsexnsfwxroleplay,1,0,1,0,0,0
1244,สาว อ้วน แก่ง คอย สระบุรี สาว อ้วน แก่งคอย ว่างห้อง ฟรี ว่าง นัด ยุ งาน ว่างห้อง ทัก จ้าidzzzz,0,0,1,0,0,0
420,ปัญญาอ่อน,1,0,0,0,0,0
7173,ตบ แป้ง รอ,0,0,0,0,0,0
7682,ยิง ตอบ มชกุ สัก ทวิต,0,0,0,0,0,0
2058,ลดจิ้น เรื่อง งาน เหมือน เดิม ชม เวลา นุ๊ก เครียด คุย ปาย เวลา สุขปาย คน รู้ คุย แซ่บ โชว์ xนุ๊กปาย,0,0,0,0,0,0
8645,กุ รัก มอมอ ปัยกุ ลา กกกกกกกกกกกกกกกกกีก้้กีด่ก่ากากากาากากากาก,0,0,0,0,0,0
6682,สำเพ็ง ใด ว่าง เลอ กุลุย เดี่ยว ดี หัว ตบตี,0,0,0,0,0,0
6314,หนัง คน ม้วน ลูกซาตาน ลูกคิชิน พ่อ โม โม่ พ่อ เอ้ก โซซิส พาลาดิน โลก คู่ ขนาน แต่อย่าง โอนิ ชิ กิ ฆ่า แบ เรื่อง,0,0,0,0,0,0
7796,ยิง ฝั่ง กอง เชียร์ เรด กดดัน ชิบหาย,0,0,0,0,0,0
1166,อ้วน ละม๊า กิน ข้าว,0,0,0,0,0,0
254,ไอบึ ตี ตลาด กะเทยหรอ,1,0,0,0,1,0
415,โค้ช ไทย เก่งบลา ไร้ สาระเพ้อ กีฬา อีโค้ช ไทย ล่ะ ปั้น โอกาส เล่น เสล่อ คน คน วิจารณ์ วิเคราะห์ ปัญญาอ่อน,1,0,0,0,1,0
6630,บูยอน บทพาร์ทสอง อ่ะ เรื่อง ปู บท บูยอน หนัก ตอน สุดท้าย อะแล้ว เรื่อง ซู จินมู พ่อ ซู ฆ่า ล้าง ตระกูล โจ กำจัด พยาน รู้ มนตร์ ดำ อะ ตัว ซู เทพ ทรูเหมือน กันalchemyofsoulsep,0,0,0,0,0,0
9340,สันดารตอแหล,1,0,0,0,1,0
4291,กุ อด กิน นม กล้วย วะ,0,0,0,0,0,0
9704,platooเอ ลุงตู่ รวย รัก ลุงตู่ คอย สบู่ ตอน อาบ น้ำ ไอ้ หมู ตอน น้ำ เหลือง เยิ้ม รัง เกลียดสัส,1,0,0,0,0,1
759,หะ แอบ ขายhimars เหรอ ปัญญาอ่อน ขนาด himars รถ ไถนา ขาย ซื้อ ขับ เด้อ รถ ระบ คอม สื่อสาร ดาว เทียม ทหาร อเมริกา เหรอ เมกา รู้ ตอน ดี ดี เมกาจัดการ เป้าหมาย ยูเครน ขับ จุด ยิง,0,0,0,0,0,0
1385,ยั่วเกย์อุดรเกย์อุดร,0,0,0,0,0,0
654,รัก เกลียด เสือก ชู ป้าย รัก เมิง ปัญญาอ่อน,1,0,0,0,0,0
1201,อ้วน แบ ชอบ เย็ด ผอม,1,0,1,1,0,1
2413,ฉาก แต่งงาน ฮ่วย ขัดใจ เด้ ออหมั้น งาน แต่ง เส้ดาราจักรรักลานาใจ,0,0,0,0,0,0
3316,อ่าน รายละเอียด กระทืบ สาหัส แหกตา ตำรวจ พยาน ลับ โหน กระแส หนุ่ม อริ ลาก บ้าน รุม กระทืบ สาหัส จัดฉาก แหก ตา ตำรวจ โป๊ะ แตก พยาน ลับ,0,0,0,0,0,0
5446,หนัง โป๊ ไทย เลสเบี้ยน สอง สาว ควย ปลอม แลกลิ้น เกี่ยว เบ็ด หี แหย่ แฉะ ผลัด โดน ควยปลอม กระทุ้ง เย็ด แรง น้ำ หี ไหล,0,0,1,0,0,0
5229,ว้ายยเลิกมั่นควยจ้า,1,0,0,0,0,0
5502,ยั่วควย,0,0,1,0,0,0
3281,สนใจสอบถาม แอดไลน์ หน้า dm ซมงับ พิ้งกี้lisaโป๊ป ไอซ์ โหน กระแส ดาราจักรรักลานาใจ ส่งใจ ไบร์ทวินไปlolงานออนไลน์ เงิน เสริม jenlisabornpink หางาน เสริม ทา บ้าน งาน ออนไลน์ เงิน หา เสริม,0,0,0,0,0,0
3044,ต้องการ น้อง ชง เหล้า เอนเตอ เทรนแม่สอดตากlineoniแม่ สอด ชง เหล้า แม่สอด ชง เหล้า งาน ชง เหล้า เพื่อน เที่ยว พริตตี้ โคโยตี้ นายก เถื่อน โหน กระแสอิง ฟ้า มหาชน ปี ไอ้ สัสอิงฟ้า มหาชน,0,0,0,0,0,0
